node1	label	node2	datasource	weight	other
/c/en/0	/r/DefinedAs	/c/en/empty_set	CN	1.0	{'dataset': '/d/conceptnet/4/en'}
/c/en/0	/r/DefinedAs	/c/en/first_limit_ordinal	CN	1.0	{'dataset': '/d/conceptnet/4/en'}
/c/en/0	/r/DefinedAs	/c/en/number_zero	CN	1.0	{'dataset': '/d/conceptnet/4/en'}
/c/en/0	/r/EtymologicallyRelatedTo	/c/en/2.0	CN	0.25	{'dataset': 'd/mowgli'}
/c/en/0	/r/HasContext	/c/en/internet_slang	CN	1.0	{'dataset': '/d/wiktionary/en'}
/c/en/0	/r/HasProperty	/c/en/pronounced_zero	CN	1.0	{'dataset': '/d/conceptnet/4/en'}
/c/en/0	/r/IsA	/c/en/set_containing_one_element	CN	1.0	{'dataset': '/d/conceptnet/4/en'}
/c/en/0	/r/RelatedTo	/c/en/0s/n	CN	1.0	{'dataset': 'd/mowgli'}
/c/en/0	/r/RelatedTo	/c/en/1	CN	1.0	{'dataset': '/d/wiktionary/en'}
/c/en/0	/r/RelatedTo	/c/en/2	CN	1.0	{'dataset': '/d/wiktionary/en'}
