identifier,name,type,data_type,document_id
aida-entity:cab521fd-369e-40e9-ba8d-a97cc7c723b9,"en:""Vladimir Putin""",Item,,HC0005QF4
aida-entity:4fba8ada-3361-459c-a37f-a0ccc4624ac5,"en:""Russia""",Item,,HC0005QF4
aida-entity:e45a2f47-4a27-4bfe-8a09-221d2216cd7f,"en:""Donetsk""",Item,,HC0005QF4
aida-entity:ed73b6b9-bd48-4560-a5ef-381937cca366,,Item,,HC0005QF4
aida-entity:e8d98762-d520-49ed-8de4-5b208d2e3fc9,"en:""Ukrainian""",Item,,HC0005QF4
aida-entity:9789ff8a-7d0a-45cc-9b2a-9a7465182d09,"en:""Malaysian Airlines""",Item,,HC0005QF4
aida-entity:ba5bd100-3c53-45bb-8c1e-81d7827e948d,"en:""Black Sea""",Item,,HC0005QF4
aida-entity:1adf20cf-9ade-467e-82a3-f4583a7b5c19,"en:""Brisbane""",Item,,HC0005QF4
aida-entity:42fe32a7-57a6-499e-9043-d45cf4522f76,"en:""the National Guard""",Item,,HC0005QF4
aida-entity:d48106d9-91c7-4d10-a4dc-7d82d735a925,"en:""Kyiv""",Item,,HC0005QF4
aida-entity:0e0214a7-2f64-4dae-b1ba-eff4b6663ef4,,Item,,HC0005QF4
aida-entity:de116796-d44b-4a1a-8491-4dcced8e8a9f,"en:""Hrabove""",Item,,HC0005QF4
aida-entity:90846e8e-d544-4c5c-8405-eb0e62e73627,,Item,,HC0005QF4
aida-entity:110be185-7b8c-4a12-a0d7-fcfe7687a7f0,"en:""bodyguard""",Item,,HC0005QF4
aida-entity:01f0cc75-2ed2-4968-add0-715d91f1b7ec,,Item,,HC0005QF4
aida-entity:6bcbc73a-2907-4c6c-8fc2-ad149846d6ac,"en:""Ilovaysk""",Item,,HC0005QF4
aida-entity:f6959485-0657-46a7-8712-5e32a27d0619,,Item,,HC0005QF4
aida-entity:f4cfc546-ff27-4df0-b19b-71dbdbc93a29,"en:""Petro Poroshenko""",Item,,HC0005QF4
aida-entity:acb74d8b-5845-4f07-9207-190313865729,,Item,,HC0005QF4
aida-entity:b993cba5-67e3-4e8e-b843-0f8103af98a0,"en:""Stepan Poltorak""",Item,,HC0005QF4
aida-entity:a27c1037-3b21-4372-9c53-2a81065b3b16,,Item,,HC0005QF4
aida-entity:e3d187c7-5e2b-48f3-a05e-dc9724cb9596,,Item,,HC0005QF4
aida-entity:5aa209ed-0b29-42c9-99f6-bb7f451b418e,"en:""Crimea""",Item,,HC0005QF4
aida-entity:d93aa0ec-a038-47c6-9983-334903ee39a8,"en:""Tony Abbott""",Item,,HC0005QF4
aida-entity:fae5a094-6aea-44e3-bfba-2f50fe87cb5b,,Item,,HC0005QF4
aida-entity:312b6440-a00e-4e4f-b0a0-99a7f0084fdf,,Item,,HC0005QF4
aida-event:c8d650fb-506c-4854-a28e-e058c3f2d168,,Item,,HC0005QF4
aida-entity:11d2d098-804e-4379-afa0-7475a6a9986f,"en:""MH17""",Item,,HC0005QF4
aida-entity:12c3230f-cc45-4c14-b34a-c8a889177502,,Item,,HC0005QF4
aida-entity:cb192f2f-07ca-49fe-80b4-56fa54420f48,,Item,,HC0005QF4
