id	node1	label	node2
t1	terminator	label	'The Terminator'@en
t2	terminator	instance_of	film
t3	terminator	genre	action
t4	terminator	genre	science_fiction
t5	terminator	publication_date	^1984-10-26T00:00:00Z/11
t6	t5	location	united_states
t7	terminator	publication_date	^1985-02-08T00:00:00Z/11
t8	t7	location	sweden
t9	terminator	director	james_cameron
t10	terminator	cast	arnold_schwarzenegger
t11	t10	role	terminator_machine
t12	terminator	cast	michael_biehn
t13	t12	role	kyle_reese
t14	terminator	cast	linda_hamilton
t15	t14	role	sarah_connor
t16	terminator	duration	108
t17	terminator	award	national_film_registry
t18	t17	point_in_time	^2008-01-01T00:00:00Z/9
s1	terminator2_jd	label	'Terminator 2: Judgement Day'@en
s2	terminator2_jd	instance_of	film
s3	terminator2_jd	genre	action
s4	terminator2_jd	genre	science_fiction
s5	terminator2_jd	publication_date	^1991-07-03T00:00:00Z/11
s6	s5	location	united_states
s7	terminator2_jd	publication_date	^1991-09-13T00:00:00Z/11
s8	s7	location	sweden
s9	terminator2_jd	director	james_cameron
s10	terminator2_jd	cast	arnold_schwarzenegger
s11	s10	role	terminator_machine
s12	terminator2_jd	cast	edward_furlong
s13	s12	role	john_connor
s14	terminator2_jd	cast	linda_hamilton
s15	s14	role	sarah_connor
s16	terminator2_jd	cast	robert_patrick
s17	s16	role	t1000
s18	terminator2_jd	duration	137
s19	terminator2_jd	award	academy_best_sound_editing
s20	s19	point_in_time	^1992-03-30T00:00:00Z/11
s21	s19	winner	gary_rydstrom
s22	s19	winner	gloria_borders
s23	terminator2_jd	award	academy_best_makeup
s24	s23	point_in_time	^1992-03-30T00:00:00Z/11
s25	s23	winner	stan_winston
s26	s23	winner	jeff_dawn
